Secteur,Question,Indicateurs,dont certifiés,Couverture
aerospatial,QV1,2,2,couverte
aerospatial,QV2,4,3,couverte
aerospatial,QV3,1,1,couverte
aerospatial,QV4,0,0,non couverte
aerospatial,QV5,3,2,couverte
automobile,QV1,3,3,couverte
automobile,QV2,4,4,couverte
automobile,QV3,2,2,couverte
automobile,QV4,2,2,couverte
automobile,QV5,0,0,non couverte
horlogerie,QV1,5,4,couverte
horlogerie,QV2,4,4,couverte
horlogerie,QV3,1,1,couverte
horlogerie,QV4,1,1,couverte
horlogerie,QV5,1,0,couverte a confirmer
medical,QV1,3,2,couverte
medical,QV2,4,4,couverte
medical,QV3,2,1,couverte
medical,QV4,2,2,couverte
medical,QV5,2,2,couverte
transversal,QV0,11,11,couverte
